rmsd_l,rmsd_i,fnat,dbsa,dnonb_e,dnonb_water,dcom_distance,dhbnum,quality
0.3940673,0.1372737,0.28,-1.747,335.193,-1454.0999999999983,0.0459999999999998,-3.0,native
0.503598,0.1501585,0.33,-3.3599999999999994,308.385,-1060.5999999999983,0.0369999999999999,-4.0,native
0.518143,0.2141592,0.28,-4.3160000000000025,374.738,-1033.2000000000007,0.048,-5.0,native
0.5544019,0.2246062,0.21,-4.922000000000001,440.997,-705.5999999999985,0.076,-6.0,native
0.5214801,0.3335557,0.21,-1.524000000000001,269.06999999999994,689.4000000000015,-0.0059999999999997,-2.0,native
0.4785453,0.2685809,0.21,-1.9230000000000016,303.082,-157.09999999999854,-0.012,-2.0,native
0.5054685,0.2376258,0.2,-3.1020000000000003,364.4649999999999,-903.5,0.08,-1.0,native
0.4634718,0.296804,0.16,-1.6940000000000026,373.259,-1090.4000000000017,0.012,-1.0,native
0.5498307,0.3360693,0.17,-1.878,390.9549999999999,-1249.2999999999993,-0.0390000000000001,-2.0,native
0.5403597,0.291342,0.18,0.3679999999999985,218.28599999999997,-588.7000000000007,-0.0270000000000001,1.0,native
0.5278337,0.2857078,0.21,0.2789999999999999,326.308,-659.5,-0.0070000000000001,-3.0,native
0.4852803,0.2238191,0.2,0.1289999999999977,199.323,-1273.2000000000007,0.0180000000000002,0.0,native
0.4859278,0.2396203,0.17,-0.6099999999999994,281.617,-525.2999999999993,0.024,-3.0,native
0.4843142,0.2190037,0.21,-0.9589999999999996,155.952,79.70000000000073,0.0169999999999999,-1.0,native
0.5015219,0.2269926,0.15,-1.2540000000000011,317.274,-769.0,0.0310000000000001,-5.0,native
0.5473086,0.2397705,0.13,-0.8620000000000019,322.6569999999999,-1573.5999999999983,0.044,-5.0,native
0.4649005,0.2453278,0.15,-1.2940000000000005,371.788,-1296.5,0.0100000000000002,-5.0,native
0.478751,0.2631885,0.18,-1.6590000000000025,261.721,-824.7999999999993,-0.0009999999999998,-2.0,native
0.5358452,0.2845026,0.21,-1.2020000000000015,346.5659999999999,-1075.7999999999993,0.0329999999999999,-2.0,native
0.50204,0.2748903,0.17,-2.2860000000000014,312.736,-1621.0999999999983,0.0390000000000001,-2.0,native
0.539534,0.2597999,0.15,-0.5990000000000002,264.515,-753.5999999999985,-0.0209999999999999,-4.0,native
0.1871782,0.1167297,0.38,-1.768000000000001,287.52,-841.2000000000007,0.0,-4.0,native
0.3154888,0.1465153,0.34,-1.429000000000002,95.87400000000002,-535.5,0.0180000000000002,0.0,native
0.3933832,0.1753001,0.27,0.6139999999999972,441.651,-1364.5,0.0209999999999999,-6.0,native
0.5342335,0.2130061,0.24,-2.4160000000000004,243.58499999999992,-256.40000000000146,0.004,-3.0,native
0.508585,0.2014064,0.09,-0.282,275.5849999999999,-24.299999999999272,0.008,-5.0,native
0.4763001,0.206571,0.13,0.3639999999999972,350.78,89.70000000000073,-0.0099999999999997,-7.0,native
0.4380377,0.2091518,0.08,-4.043000000000003,482.37,-116.29999999999929,0.0249999999999999,-7.0,native
0.5560864,0.2307633,0.11,-0.6490000000000009,328.083,-165.20000000000073,0.0300000000000002,-4.0,native
0.5785996,0.2438444,0.13,0.8539999999999992,284.821,-531.0,0.0249999999999999,-8.0,native
0.5100697,0.2262235,0.12,1.4549999999999983,281.25699999999995,-474.4000000000015,-0.0009999999999998,-6.0,native
0.4987803,0.217135,0.11,3.4719999999999978,116.313,-1427.4000000000017,0.04,-4.0,native
0.5087748,0.2107055,0.12,2.006999999999998,175.68399999999997,-968.0,0.0169999999999999,-5.0,native
0.5129698,0.2176264,0.14,0.4710000000000001,14.366999999999962,-1263.2000000000007,0.048,-2.0,native
0.4984922,0.2403519,0.1,-0.6449999999999996,116.798,-848.5,0.0779999999999998,-3.0,native
0.5243645,0.2359931,0.04,-0.8590000000000018,447.3,-1311.5,0.0830000000000001,-8.0,native
0.3691832,0.2076738,0.1,-2.41,412.972,-1544.2000000000007,0.0830000000000001,-7.0,native
0.3614385,0.1791878,0.09,-0.7900000000000027,302.04099999999994,-1194.4000000000017,0.0430000000000001,-3.0,native
0.4301468,0.222928,0.1,-5.516000000000002,599.7139999999999,-1651.5,0.092,-9.0,native
0.4994209,0.2152908,0.1,-5.497,637.2919999999999,-914.9000000000016,0.016,-9.0,native
0.5073217,0.2283404,0.1,-6.6320000000000014,651.94,-1142.4000000000017,0.137,-9.0,native
0.6185218,0.2517028,0.09,-3.0660000000000025,620.547,-1076.0,0.056,-9.0,native
0.3561871,0.2182073,0.18,-5.114000000000001,383.244,-982.9000000000016,0.0919999999999996,-4.0,non-native
0.5350969,0.2613866,0.12,-5.8260000000000005,212.85,-704.1000000000022,0.1069999999999997,-2.0,non-native
0.6426857,0.3314314,0.13,-7.093,170.67700000000002,-1398.0,0.1499999999999999,0.0,non-native
0.6411113,0.3487756,0.1,-5.724,254.622,-787.7999999999993,0.1159999999999996,-4.0,non-native
0.8056729,0.3286965,0.1,-6.472,326.47400000000005,-1928.4000000000012,0.1489999999999995,-6.0,non-native
0.9032734,0.3700322,0.09,-5.863999999999999,271.933,-658.4000000000015,0.133,-3.0,non-native
0.8085071,0.3413477,0.07,-5.586,288.77,-1608.9000000000017,0.0899999999999998,-4.0,non-native
0.6945284,0.3156512,0.07,-7.157,315.90200000000004,-1065.4000000000017,0.133,-5.0,non-native
0.7781231,0.3308142,0.08,-5.472,155.62099999999998,-1107.5,0.1679999999999997,-1.0,non-native
0.8013597,0.3389768,0.13,-6.610999999999999,210.06100000000004,-1093.7000000000007,0.1229999999999997,-2.0,non-native
0.8247057,0.3654142,0.11,-4.553000000000001,316.43999999999994,-810.4000000000015,0.1229999999999997,-5.0,non-native
0.8383092,0.3567214,0.07,-7.151,320.915,-1282.4000000000017,0.0819999999999998,-4.0,non-native
0.80623,0.3270516,0.11,-5.577999999999999,181.85799999999995,-1375.2999999999993,0.0779999999999998,-3.0,non-native
0.8957649,0.3795405,0.09,-9.205,463.161,-1077.5,0.1579999999999999,-6.0,non-native
0.7791559,0.3316134,0.08,-4.113,323.53200000000004,-771.4000000000015,0.1499999999999999,-4.0,non-native
0.9159812,0.427227,0.08,-6.449,358.599,-976.9000000000016,0.1469999999999998,-5.0,non-native
0.6716391,0.2877393,0.11,-6.901999999999999,316.36800000000005,-936.0,0.0969999999999999,-3.0,non-native
0.7325214,0.3399807,0.13,-7.087999999999999,345.245,-1502.5,0.0689999999999999,-5.0,non-native
0.740326,0.3476222,0.1,-3.933,289.539,-998.7000000000008,0.0809999999999999,-4.0,non-native
0.6936868,0.3142694,0.07,-4.134,182.80499999999995,-1549.7999999999993,0.0969999999999999,-4.0,non-native
0.7549178,0.3036846,0.08,-1.445999999999998,313.25,-1500.7999999999993,0.0549999999999997,-5.0,non-native
0.4163313,0.2102246,0.25,-1.3049999999999995,212.111,-519.9000000000015,0.0909999999999997,-6.0,non-native
0.5534515,0.2319866,0.2,-3.224,257.741,-583.7000000000007,0.0969999999999999,-5.0,non-native
0.5250167,0.2291803,0.17,-3.349,249.497,-817.7999999999993,0.0569999999999999,-4.0,non-native
0.4410741,0.2512624,0.17,-3.594000000000001,172.36800000000005,-271.7000000000007,0.0729999999999999,-3.0,non-native
0.4412998,0.2761104,0.16,-4.475999999999999,152.33399999999995,-1383.6000000000022,0.0769999999999999,-1.0,non-native
0.6356369,0.2741226,0.16,-2.632999999999999,154.30600000000004,-1624.1000000000022,0.0539999999999998,-4.0,non-native
0.552545,0.2659015,0.14,-0.8180000000000014,34.66700000000003,-942.6000000000022,0.0699999999999998,-1.0,non-native
0.6058912,0.320257,0.17,-0.6149999999999984,-34.21900000000005,-1192.7000000000007,0.1109999999999997,0.0,non-native
0.5702683,0.3057897,0.13,-1.041999999999998,141.19500000000005,-661.0,0.1489999999999995,-3.0,non-native
0.6078851,0.3013312,0.14,-3.605,196.72900000000004,-1017.7999999999992,0.1349999999999998,-3.0,non-native
0.5306957,0.3047386,0.13,-4.154,110.69399999999996,-2606.7000000000007,0.0889999999999999,-3.0,non-native
0.5273319,0.2930727,0.17,-1.9570000000000007,4.086000000000013,-2159.400000000001,0.0519999999999996,1.0,non-native
0.5351389,0.2675034,0.15,-1.5530000000000008,49.676000000000045,-1792.2999999999993,-0.0130000000000003,-2.0,non-native
0.7367616,0.3183133,0.16,1.3219999999999992,-55.66899999999998,-869.0,-0.0260000000000002,2.0,non-native
0.6409764,0.3343168,0.15,-0.2480000000000011,31.876999999999956,-756.7000000000007,-0.032,-2.0,non-native
0.5096552,0.2556509,0.14,-2.5479999999999983,89.75699999999995,-1498.0,0.0309999999999996,-1.0,non-native
0.5535438,0.2871335,0.08,-4.140000000000001,24.07899999999995,-1493.0,0.012,0.0,non-native
